id,invoice_id,item_type,description,quantity,rate,amount
1,1,room-rental,Room rental,1.0,399.0,399.0
2,2,room-rental,Room rental,1.0,399.0,399.0
3,3,room-rental,Room rental,1.0,700.0,700.0
4,4,room-rental,Room rental,1.0,599.0,599.0
5,5,room-rental,Room rental,1.0,800.0,800.0
6,6,room-rental,Room rental,1.0,499.0,499.0
7,7,room-rental,Room rental,1.0,680.0,680.0
8,8,room-rental,Room rental,1.0,690.0,690.0
9,9,room-rental,Room rental,1.0,800.0,800.0
10,10,room-rental,Room rental,1.0,580.0,580.0
11,11,room-rental,Room rental,1.0,680.0,680.0
12,12,room-rental,Room rental,1.0,690.0,690.0
13,13,room-rental,Room rental,1.0,449.0,449.0
14,14,room-rental,Room rental,1.0,400.0,400.0
15,15,room-rental,Room rental,1.0,680.0,680.0
16,16,room-rental,Room rental,1.0,499.0,499.0
17,17,room-rental,Room rental,1.0,499.0,499.0
18,18,room-rental,Room rental,1.0,750.0,750.0
19,19,room-rental,Room rental,1.0,690.0,690.0
20,20,room-rental,Room rental,1.0,790.0,790.0
21,21,room-rental,Room rental,1.0,500.0,500.0
22,22,room-rental,Room rental,1.0,750.0,750.0
23,23,room-rental,Room rental,1.0,600.0,600.0
24,24,room-rental,Room rental,1.0,900.0,900.0
25,25,room-rental,Room rental,1.0,690.0,690.0
26,26,room-rental,Room rental,1.0,690.0,690.0
27,27,room-rental,Room rental,1.0,900.0,900.0
28,28,room-rental,Room rental,1.0,500.0,500.0
29,29,room-rental,Room rental,1.0,650.0,650.0
30,30,room-rental,Room rental,1.0,600.0,600.0
31,31,room-rental,Room rental,1.0,550.0,550.0
32,32,room-rental,Room rental,1.0,650.0,650.0
33,33,room-rental,Room rental,1.0,690.0,690.0
34,34,room-rental,Room rental,1.0,900.0,900.0
35,35,room-rental,Room rental,1.0,590.0,590.0
36,36,room-rental,Room rental,1.0,600.0,600.0
37,37,room-rental,Room rental,1.0,900.0,900.0
38,38,room-rental,Room rental,1.0,500.0,500.0
39,39,room-rental,Room rental,1.0,690.0,690.0
40,40,room-rental,Room rental,1.0,690.0,690.0
41,41,room-rental,Room rental,1.0,790.0,790.0
42,42,room-rental,Room rental,1.0,500.0,500.0
43,43,room-rental,Room rental,1.0,690.0,690.0
44,44,room-rental,Room rental,1.0,690.0,690.0
45,45,room-rental,Room rental,1.0,900.0,900.0
46,46,room-rental,Room rental,1.0,590.0,590.0
47,47,room-rental,Room rental,1.0,690.0,690.0
48,48,room-rental,Room rental,1.0,690.0,690.0
49,49,room-rental,Room rental,1.0,590.0,590.0
50,50,room-rental,Room rental,1.0,900.0,900.0
51,51,room-rental,Room rental,1.0,590.0,590.0
52,52,room-rental,Room rental,1.0,690.0,690.0
53,53,room-rental,Room rental,1.0,1000.0,1000.0
54,54,room-rental,Room rental,1.0,900.0,900.0
55,55,room-rental,Room rental,1.0,590.0,590.0
56,56,room-rental,Room rental,1.0,650.0,650.0
57,57,room-rental,Room rental,1.0,690.0,690.0
58,58,room-rental,Room rental,1.0,900.0,900.0
59,59,room-rental,Room rental,1.0,500.0,500.0
60,60,room-rental,Room rental,1.0,690.0,690.0
61,61,room-rental,Room rental,1.0,490.0,490.0
62,62,room-rental,Room rental,1.0,690.0,690.0
63,63,room-rental,Room rental,1.0,490.0,490.0
64,64,room-rental,Room rental,1.0,750.0,750.0
65,65,room-rental,Room rental,1.0,650.0,650.0
66,66,room-rental,Room rental,1.0,490.0,490.0
67,67,room-rental,Room rental,1.0,690.0,690.0
68,68,room-rental,Room rental,1.0,900.0,900.0
69,69,room-rental,Room rental,1.0,590.0,590.0
70,70,room-rental,Room rental,1.0,750.0,750.0
71,71,room-rental,Room rental,1.0,690.0,690.0
72,72,room-rental,Room rental,1.0,500.0,500.0
73,73,room-rental,Room rental,1.0,650.0,650.0
74,74,room-rental,Room rental,1.0,690.0,690.0
75,75,room-rental,Room rental,1.0,650.0,650.0
76,76,room-rental,Room rental,1.0,600.0,600.0
77,77,room-rental,Room rental,1.0,900.0,900.0
78,78,room-rental,Room rental,1.0,500.0,500.0
79,79,room-rental,Room rental,1.0,600.0,600.0
80,80,room-rental,Room rental,1.0,900.0,900.0
81,81,room-rental,Room rental,1.0,590.0,590.0
82,82,room-rental,Room rental,1.0,690.0,690.0
83,83,room-rental,Room rental,1.0,600.0,600.0
84,84,room-rental,Room rental,1.0,450.0,450.0
85,85,room-rental,Room rental,1.0,650.0,650.0
86,86,room-rental,Room rental,1.0,600.0,600.0
87,87,room-rental,Room rental,1.0,790.0,790.0
88,88,room-rental,Room rental,1.0,600.0,600.0
89,89,room-rental,Room rental,1.0,900.0,900.0
90,90,room-rental,Room rental,1.0,590.0,590.0
91,91,room-rental,Room rental,1.0,800.0,800.0
92,92,room-rental,Room rental,1.0,800.0,800.0
93,93,room-rental,Room rental,1.0,500.0,500.0
94,94,room-rental,Room rental,1.0,600.0,600.0
95,95,room-rental,Room rental,1.0,690.0,690.0
96,96,room-rental,Room rental,1.0,900.0,900.0
97,97,room-rental,Room rental,1.0,590.0,590.0
98,98,room-rental,Room rental,1.0,690.0,690.0
99,99,room-rental,Room rental,1.0,600.0,600.0
100,100,room-rental,Room rental,1.0,790.0,790.0
101,101,room-rental,Room rental,1.0,490.0,490.0
102,102,room-rental,Room rental,1.0,590.0,590.0
103,103,room-rental,Room rental,1.0,590.0,590.0
104,104,room-rental,Room rental,1.0,750.0,750.0
105,105,room-rental,Room rental,1.0,600.0,600.0
106,106,room-rental,Room rental,1.0,900.0,900.0
107,107,room-rental,Room rental,1.0,650.0,650.0
108,108,room-rental,Room rental,1.0,690.0,690.0
109,109,room-rental,Room rental,1.0,770.0,770.0
110,110,room-rental,Room rental,1.0,650.0,650.0
111,111,room-rental,Room rental,1.0,690.0,690.0
112,112,room-rental,Room rental,1.0,900.0,900.0
113,113,room-rental,Room rental,1.0,500.0,500.0
114,114,room-rental,Room rental,1.0,700.0,700.0
115,115,room-rental,Room rental,1.0,690.0,690.0
116,116,room-rental,Room rental,1.0,500.0,500.0
117,117,room-rental,Room rental,1.0,600.0,600.0
118,118,room-rental,Room rental,1.0,690.0,690.0
119,119,room-rental,Room rental,1.0,900.0,900.0
120,120,room-rental,Room rental,1.0,500.0,500.0
121,121,room-rental,Room rental,1.0,750.0,750.0
122,122,room-rental,Room rental,1.0,690.0,690.0
123,123,room-rental,Room rental,1.0,900.0,900.0
124,124,room-rental,Room rental,1.0,690.0,690.0
125,125,room-rental,Room rental,1.0,900.0,900.0
126,126,room-rental,Room rental,1.0,590.0,590.0
127,127,room-rental,Room rental,1.0,800.0,800.0
128,128,room-rental,Room rental,1.0,850.0,850.0
129,129,room-rental,Room rental,1.0,1000.0,1000.0
130,130,room-rental,Room rental,1.0,1200.0,1200.0
131,131,room-rental,Room rental,1.0,1000.0,1000.0
132,132,room-rental,Room rental,1.0,850.0,850.0
133,133,room-rental,Room rental,1.0,900.0,900.0
134,134,room-rental,Room rental,1.0,1200.0,1200.0
135,135,room-rental,Room rental,1.0,800.0,800.0
136,136,room-rental,Room rental,1.0,950.0,950.0
137,137,room-rental,Room rental,1.0,1200.0,1200.0
138,138,room-rental,Room rental,1.0,1000.0,1000.0
139,139,room-rental,Room rental,1.0,950.0,950.0
140,140,room-rental,Room rental,1.0,1200.0,1200.0
141,141,room-rental,Room rental,1.0,1000.0,1000.0
142,142,room-rental,Room rental,1.0,1000.0,1000.0
143,143,room-rental,Room rental,1.0,1200.0,1200.0
144,144,room-rental,Room rental,1.0,850.0,850.0
145,145,room-rental,Room rental,1.0,1000.0,1000.0
146,146,room-rental,Room rental,1.0,1200.0,1200.0
147,147,room-rental,Room rental,1.0,1080.0,1080.0
148,148,room-rental,Room rental,1.0,1500.0,1500.0
149,149,room-rental,Room rental,1.0,750.0,750.0
150,150,room-rental,Room rental,1.0,750.0,750.0
151,151,room-rental,Room rental,1.0,750.0,750.0
152,152,room-rental,Room rental,1.0,1000.0,1000.0
153,153,room-rental,Room rental,1.0,1100.0,1100.0
154,154,room-rental,Room rental,1.0,1200.0,1200.0
155,155,room-rental,Room rental,1.0,1000.0,1000.0
156,156,room-rental,Room rental,1.0,1100.0,1100.0
157,157,room-rental,Room rental,1.0,1200.0,1200.0
158,158,room-rental,Room rental,1.0,1300.0,1300.0
159,159,room-rental,Room rental,1.0,1100.0,1100.0
160,160,room-rental,Room rental,1.0,1200.0,1200.0
161,161,room-rental,Room rental,1.0,4100.0,4100.0
